Date,Natural Gas Price,Crude Oil Price,US Dollar Index,GDP,Natural Gas Production,Net Imports,Natural Gas Consumption,US total natural gas proved reserves (trillion cubic feet)
2014-05-01,4.542,102.71,80.37,17144.281,19.14141,1.0687300000000002,27.412399999999998,322.67
2014-06-01,4.461,105.37,79.78,17144.281,21.34549,0.84681,25.5789,322.67
2014-07-01,3.841,98.17,81.46,17462.703,21.16226,0.78741,19.616780000000002,353.994
2014-08-01,4.065,95.96,82.75,17462.703,21.749589999999998,0.9255200000000001,18.10222,353.994
2014-09-01,4.121,91.16,85.94,17462.703,21.156660000000002,0.81791,17.45351,353.994
2014-10-01,3.873,80.54,86.92,17743.227,22.32675,0.73875,18.81017,353.994
2014-11-01,4.088,66.15,88.36,17743.227,22.448339999999998,0.91178,19.33061,353.994
2014-12-01,2.889,53.27,90.27,17743.227,21.71651,0.81731,18.09291,353.994
2015-01-01,2.691,48.24,94.8,17852.54,22.662979999999997,1.05789,19.1281,353.994
2015-02-01,2.734,49.76,95.32,17852.54,21.791570000000004,1.06623,23.575210000000002,353.994
2015-03-01,2.64,47.6,98.36,17852.54,22.69247,1.16754,26.79165,353.994
2015-04-01,2.751,59.63,94.6,17991.348,22.76791,1.3487500000000001,31.149820000000002,353.994
2015-05-01,2.642,60.3,96.91,17991.348,20.666750000000004,1.09275,29.251720000000002,353.994
2015-06-01,2.832,59.47,95.48,17991.348,22.98208,0.9330700000000001,25.913290000000003,353.994
2015-07-01,2.716,47.12,97.34,18193.707,22.561790000000002,0.74792,20.07922,353.994
2015-08-01,2.689,49.2,95.82,18193.707,22.978260000000002,0.70074,18.58149,388.841
2015-09-01,2.524,45.09,96.35,18193.707,22.185290000000002,0.68093,18.99906,388.841
2015-10-01,2.321,46.59,96.95,18306.96,22.99745,0.7315300000000001,20.67714,388.841
2015-11-01,2.235,41.65,100.17,18306.96,23.023609999999998,0.68991,20.52728,388.841
2015-12-01,2.337,37.04,98.63,18306.96,22.421550000000003,0.46244999999999997,19.013370000000002,388.841
2016-01-01,2.298,33.62,99.61,18332.079,23.000169999999997,0.6776800000000001,19.8731,388.841
2016-02-01,1.711,33.75,98.21,18332.079,22.16479,0.62503,22.4914,388.841
2016-03-01,1.959,38.34,94.59,18332.079,22.90495,0.65503,25.881680000000003,388.841
2016-04-01,2.178,45.92,93.08,18425.306,22.803400000000003,1.05079,30.916950000000003,388.841
2016-05-01,2.288,49.1,95.89,18425.306,21.63435,0.89019,26.522600000000004,388.841
2016-06-01,2.924,48.33,96.14,18425.306,22.86521,0.45848999999999995,23.56298,388.841
2016-07-01,2.876,41.6,95.53,18611.617,22.11218,0.63464,20.83848,388.841
2016-08-01,2.887,44.7,96.02,18611.617,22.588980000000003,0.60043,19.65799,388.841
2016-09-01,2.906,48.24,95.46,18611.617,21.65089,0.58872,20.00656,324.303
2016-10-01,3.026,46.86,98.44,18775.459,22.55564,0.76339,21.86616,324.303
2016-11-01,3.352,49.44,101.5,18775.459,22.37678,0.47757,22.083750000000002,324.303
2016-12-01,3.724,53.72,102.21,18775.459,21.5115,0.36505000000000004,19.47752,324.303
2017-01-01,3.117,52.81,99.51,18968.041,22.14145,0.5498299999999999,19.25203,324.303
2017-02-01,2.774,54.01,101.12,18968.041,21.605999999999998,0.03125,21.594450000000002,324.303
2017-03-01,3.19,50.6,100.35,18968.041,22.074749999999998,0.29955,28.662730000000003,324.303
2017-04-01,3.276,49.33,99.05,19148.194,21.874470000000002,0.21696000000000001,29.14837,324.303
2017-05-01,3.071,48.32,96.92,19148.194,20.03393,0.013700000000000002,23.41078,324.303
2017-06-01,3.035,46.04,95.63,19148.194,22.68204,0.07222,25.24263,324.303
2017-07-01,2.794,50.17,92.86,19304.506,21.977330000000002,-0.04146,19.32745,324.303
2017-08-01,3.04,47.23,92.67,19304.506,22.70953,-0.045140000000000007,18.92286,324.303
2017-09-01,3.007,51.67,93.08,19304.506,22.19,-0.13516999999999998,19.10408,324.303
2017-10-01,2.896,54.38,94.55,19561.896,23.166140000000002,0.017070000000000002,21.418789999999998,341.133
2017-11-01,3.025,57.4,93.05,19561.896,23.153119999999998,0.00586,20.942339999999998,341.133
2017-12-01,2.953,60.42,92.12,19561.896,22.79811,-0.19472,19.20233,341.133
2018-01-01,2.995,64.73,89.13,19894.75,23.97665,-0.38437,20.31694,341.133
2018-02-01,2.667,61.64,90.61,19894.75,23.925369999999997,-0.47413,23.57822,341.133
2018-03-01,2.733,64.94,89.97,19894.75,24.57638,-0.25661,30.84415,341.133
2018-04-01,2.763,68.57,91.84,20155.486,24.41063,-0.0034200000000000003,33.4144,341.133
2018-05-01,2.952,67.04,93.98,20155.486,22.509050000000002,-0.38235,27.11241,341.133
2018-06-01,2.924,74.15,94.64,20155.486,25.21151,-0.20704999999999998,27.978180000000002,341.133
2018-07-01,2.782,68.76,94.49,20470.197,24.35681,-0.36677,23.51509,341.133
2018-08-01,2.916,69.8,95.14,20470.197,25.4581,-0.44947000000000004,20.56106,341.133
2018-09-01,3.008,73.25,95.13,20470.197,24.76154,-0.33526000000000006,20.6426,341.133
2018-10-01,3.261,65.31,97.13,20687.278,26.096529999999998,-0.5898599999999999,23.522150000000003,341.133
2018-11-01,4.612,50.93,97.27,20687.278,26.62285,-0.7442400000000001,23.15335,464.29200000000003
2018-12-01,2.94,45.41,96.17,20687.278,26.186700000000002,-0.8766700000000001,21.57215,464.29200000000003
2019-01-01,2.814,53.79,95.58,20819.269,27.402730000000002,-0.9152500000000001,22.860129999999998,464.29200000000003
2019-02-01,2.812,57.22,96.16,20819.269,26.98177,-1.25302,27.16229,464.29200000000003
